Date,State,Tweet_activity,Popular_Topics
2021-06-13T00:00Z,West Virginia,3,Quarantines
2021-06-20T00:00Z,West Virginia,2,Quarantines
2021-06-27T00:00Z,West Virginia,1,Quarantines
2021-07-04T00:00Z,West Virginia,0,Quarantines
2021-07-11T00:00Z,West Virginia,0,Quarantines
2021-07-18T00:00Z,West Virginia,1,Quarantines
2021-07-25T00:00Z,West Virginia,1,Quarantines
2021-08-01T00:00Z,West Virginia,2,Quarantines
2020-03-22T00:00Z,Indiana,19,Testing
2020-03-29T00:00Z,Indiana,57,Testing
2020-04-05T00:00Z,Indiana,24,Testing
2020-04-12T00:00Z,Indiana,10,Testing
2020-04-19T00:00Z,Indiana,24,Testing
2020-04-26T00:00Z,Indiana,28,Testing
2020-05-03T00:00Z,Indiana,76,Mask
2020-05-10T00:00Z,Indiana,76,Mask
2020-05-17T00:00Z,Indiana,65,Mask
2020-05-24T00:00Z,Indiana,72,Mask
2020-05-31T00:00Z,Indiana,63,Mask
2020-06-07T00:00Z,Indiana,55,Mask
2020-06-14T00:00Z,Indiana,45,Mask
2020-06-21T00:00Z,Indiana,57,Mask
2020-06-28T00:00Z,Indiana,45,Mask
2020-07-05T00:00Z,Indiana,47,Mask
2020-07-12T00:00Z,Indiana,60,Mask
2020-07-19T00:00Z,Indiana,45,Mask
2020-07-26T00:00Z,Indiana,63,Mask
2020-08-02T00:00Z,Indiana,56,Mask
2020-08-09T00:00Z,Indiana,71,Mask
2020-08-16T00:00Z,Indiana,54,Mask
2020-08-23T00:00Z,Indiana,63,Mask
2020-08-30T00:00Z,Indiana,53,Mask
2020-09-06T00:00Z,Indiana,44,Testing
2020-09-13T00:00Z,Indiana,32,Testing
2020-09-20T00:00Z,Indiana,22,Testing
2020-09-27T00:00Z,Indiana,20,Testing
2020-10-04T00:00Z,Indiana,17,Testing
2020-10-11T00:00Z,Indiana,20,Testing
2020-10-18T00:00Z,Indiana,20,Testing
2020-10-25T00:00Z,Indiana,15,Testing
2020-11-01T00:00Z,Indiana,26,Testing
2020-11-08T00:00Z,Indiana,11,Testing
2020-11-15T00:00Z,Indiana,18,Testing
2020-11-22T00:00Z,Indiana,24,Testing
2020-11-29T00:00Z,Indiana,30,Testing
2020-12-06T00:00Z,Indiana,14,Testing
2020-12-13T00:00Z,Indiana,16,Testing
2020-12-20T00:00Z,Indiana,12,Testing
2020-12-27T00:00Z,Indiana,19,Testing
2021-01-03T00:00Z,Indiana,12,Quarantines
2021-01-10T00:00Z,Indiana,9,Quarantines
2021-01-17T00:00Z,Indiana,20,Quarantines
2021-01-24T00:00Z,Indiana,16,Quarantines
2021-01-31T00:00Z,Indiana,17,Quarantines
2021-02-07T00:00Z,Indiana,18,Quarantines
2021-02-14T00:00Z,Indiana,9,Quarantines
2021-02-21T00:00Z,Indiana,11,Quarantines
2021-02-28T00:00Z,Indiana,18,Quarantines
2021-03-07T00:00Z,Indiana,20,Quarantines
2021-03-14T00:00Z,Indiana,20,Quarantines
2021-03-21T00:00Z,Indiana,20,Quarantines
2021-03-28T00:00Z,Indiana,15,Quarantines
2021-04-04T00:00Z,Indiana,17,Quarantines
2021-04-11T00:00Z,Indiana,22,Quarantines
2021-04-18T00:00Z,Indiana,23,Quarantines
2021-04-25T00:00Z,Indiana,15,Quarantines
2021-05-02T00:00Z,Indiana,16,Quarantines
2021-05-09T00:00Z,Indiana,6,Quarantines
2021-05-16T00:00Z,Indiana,12,Quarantines
2021-05-23T00:00Z,Indiana,17,Quarantines
2021-05-30T00:00Z,Indiana,15,Quarantines
2021-06-06T00:00Z,Indiana,6,Quarantines
2021-06-13T00:00Z,Indiana,9,Quarantines
2021-06-20T00:00Z,Indiana,16,Quarantines
2021-06-27T00:00Z,Indiana,8,Quarantines
2021-07-04T00:00Z,Indiana,8,Quarantines
2021-07-11T00:00Z,Indiana,12,Quarantines
2021-07-18T00:00Z,Indiana,4,Quarantines
2021-07-25T00:00Z,Indiana,7,Quarantines
2021-08-01T00:00Z,Indiana,13,Quarantines
